time,pm_sepuluh,pm_duakomalima,sulfur_dioksida,karbon_monoksida,ozon,nitrogen_dioksida,kategori,tempmax,tempmin,humidity,dew,precip,precipprob,precipcover,windgust,windspeed,winddir,cloudcover,visibility,solarradiation,solarenergy,uvindex
2021-08-08,57,84,47,9,26,13,SEDANG,91.4,77.0,74.1,75.1,0.0,0,0.0,18.8,18.0,90.4,41.2,3.9,245.3,21.4,9
2021-08-09,53,69,45,7,25,10,SEDANG,91.0,76.5,73.9,74.8,0.008,100,8.33,21.9,16.9,77.1,52.9,3.7,218.2,18.9,7
2021-08-10,36,54,41,6,27,12,SEDANG,86.7,75.2,84.6,74.9,2.58,100,12.5,11.2,9.0,62.1,66.2,3.3,77.6,6.7,4
2021-08-11,61,88,44,12,30,14,SEDANG,91.5,77.0,70.7,72.3,0.0,0,0.0,13.2,15.3,86.9,37.5,3.6,252.6,21.7,9
2021-08-12,54,73,46,7,32,11,SEDANG,92.6,73.9,62.4,69.2,0.0,0,0.0,10.3,12.0,78.7,28.1,4.0,271.7,23.5,9
2021-08-13,61,91,46,11,29,16,SEDANG,87.8,77.0,74.4,73.1,0.0,0,0.0,18.6,16.9,55.8,48.7,3.5,191.0,16.5,7
2021-08-14,69,102,45,14,29,16,TIDAK SEHAT,92.7,76.5,69.2,72.5,0.0,0,0.0,19.7,17.2,82.8,45.3,3.5,257.1,22.4,9
2021-08-15,57,84,45,12,22,15,SEDANG,94.5,77.5,65.8,71.3,0.0,0,0.0,34.4,22.7,95.9,38.9,3.9,262.6,22.7,9
2021-08-16,53,79,48,9,24,15,SEDANG,92.7,75.7,67.6,72.0,0.0,0,0.0,14.5,14.9,82.6,34.1,4.3,233.6,20.3,8
2021-08-17,60,88,45,11,30,13,SEDANG,92.1,78.8,69.1,72.7,0.0,0,0.0,11.9,14.0,2.6,44.3,3.6,247.7,21.6,8
2021-08-18,58,86,43,10,35,11,SEDANG,89.6,77.0,73.0,73.0,0.001,100,4.17,11.6,15.6,284.4,49.5,3.3,239.2,20.8,8
2021-08-19,68,104,45,14,27,14,TIDAK SEHAT,89.8,75.7,73.0,72.1,0.0,0,0.0,14.5,11.1,297.2,46.3,3.5,191.5,16.6,7
2021-08-20,57,83,46,10,29,14,SEDANG,90.3,75.7,71.3,72.0,0.153,100,8.33,16.6,15.7,23.6,50.0,3.5,216.5,18.7,8
2021-08-21,53,80,44,10,33,15,SEDANG,87.8,77.0,76.6,73.0,0.0,0,0.0,15.0,14.7,315.6,52.6,3.3,185.9,16.1,8
2021-08-22,58,88,49,14,29,18,SEDANG,91.5,75.2,74.3,73.5,0.0,0,0.0,14.1,15.2,77.0,49.2,3.7,177.3,15.2,7
2021-08-23,66,100,46,13,31,17,SEDANG,90.9,76.5,73.0,73.8,0.0,0,0.0,14.3,10.6,36.5,45.1,3.5,239.8,20.7,9
2021-08-24,66,100,46,11,32,15,SEDANG,89.3,77.0,77.6,74.7,0.003,100,4.17,10.5,13.5,308.4,55.6,3.1,253.9,21.9,9
2021-08-25,57,81,44,10,33,11,SEDANG,91.6,75.7,68.2,71.2,0.003,100,4.17,9.8,10.4,124.4,47.6,3.3,259.6,22.5,9
2021-08-26,54,82,46,9,30,15,SEDANG,92.1,76.5,65.0,70.7,0.0,0,0.0,12.5,15.1,53.1,37.5,3.8,275.7,24.0,9
2021-08-27,62,92,47,9,31,13,SEDANG,92.1,74.7,68.7,71.8,0.0,0,0.0,13.9,12.8,335.9,35.6,3.5,268.5,23.3,10
2021-08-28,63,94,46,10,42,17,SEDANG,92.7,77.0,65.1,71.0,0.0,0,0.0,11.4,11.4,102.2,35.2,3.5,263.9,22.7,10
2021-08-29,67,28,46,12,35,15,SEDANG,88.0,77.0,74.2,73.3,0.0,0,0.0,14.5,9.5,236.0,51.7,3.1,162.7,14.0,5
2021-08-30,87,27,46,16,38,17,SEDANG,89.1,77.0,74.4,74.1,0.0,0,0.0,14.1,14.5,314.8,53.2,3.2,243.8,21.1,9
2021-08-31,64,27,10,19,38,32,SEDANG,88.0,78.8,74.7,74.5,0.002,100,4.17,19.7,8.1,246.3,57.7,3.3,241.3,20.8,8
2021-08-01,51,86,39,8,30,22,SEDANG,89.1,75.7,79.1,74.3,0.12,100,12.5,15.0,10.3,83.8,55.7,3.3,222.2,19.2,8
2021-08-02,42,81,38,9,27,20,SEDANG,90.3,77.0,73.1,73.2,0.001,100,4.17,16.1,14.3,291.0,56.3,3.7,211.7,18.3,7
2021-08-03,55,104,38,12,21,25,TIDAK SEHAT,90.3,75.7,72.5,73.7,0.0,0,0.0,12.8,13.3,60.9,44.7,3.5,241.6,20.8,8
2021-08-04,51,87,41,7,23,20,SEDANG,90.9,77.0,70.9,73.3,0.006,100,4.17,14.8,17.9,61.3,45.7,3.9,238.3,20.4,9
2021-08-05,53,90,38,8,21,19,SEDANG,89.6,76.8,81.1,73.7,0.234,100,8.33,18.1,12.8,163.5,49.0,3.3,211.5,18.2,8
2021-08-06,59,105,37,16,13,21,TIDAK SEHAT,91.4,73.9,71.9,72.1,0.0,0,0.0,21.9,18.6,90.3,46.8,3.6,238.4,20.5,9
2021-09-07,56,86,42,8,21,21,SEDANG,88.0,77.0,81.9,74.7,0.384,100,20.83,19.5,7.9,257.8,53.3,3.4,223.6,19.4,8
2021-09-08,63,106,40,15,29,25,TIDAK SEHAT,90.3,74.5,79.3,73.8,0.845,100,8.33,12.8,15.7,305.0,57.1,3.3,254.7,21.9,9
2021-09-09,52,82,41,12,27,24,SEDANG,90.9,73.9,70.2,71.2,0.0,0,0.0,10.7,9.1,64.5,43.0,4.1,265.9,23.0,9
